StNo,Station1,Station2,Int_Dist_Kms,00:00 - 1:00,1:00 - 2:00,2:00 - 3:00,3:00 - 4:00,4:00 - 5:00,5:00 - 6:00,6:00 - 7:00,7:00 - 8:00,8:00 - 9:00,9:00 - 10:00,10:00 - 11:00,11:00 - 12:00,12:00 - 13:00,13:00 - 14:00,14:00 - 15:00,15:00 - 16:00,16:00 - 17:00,17:00 - 18:00,18:00 - 19:00,19:00 - 20:00,20:00 - 21:00,21:00 - 22:00,22:00 - 23:00,23:00 - 24:00
1,Howrah Jn,Baraddhaman Jn,94.4,3,0,0,0,0,1,3,5,7,4,4,6,6,8,12,10,14,5,4,5,5,7,7,5
2,Baraddhaman Jn,Asansol Jn,105.8,8,6,3,1,0,0,1,2,5,7,2,5,6,8,8,12,13,7,5,8,8,6,7,5
3,Asansol Jn,Jasidih Jn,110.4,2,3,4,4,2,1,1,0,0,2,2,3,3,3,3,2,3,4,2,2,0,2,4,4
4,Jasidih Jn,Patna Jn,220.8,4,3,5,5,2,2,3,2,1,1,0,2,3,4,5,5,4,4,3,5,5,3,1,1
5,Patna Jn,Dd Upadhyaya Jn,211.4,5,5,4,2,2,3,4,5,6,5,3,5,5,5,5,4,6,7,9,11,8,4,3,7
6,Dd Upadhyaya Jn,Prayagraj Jn,152.6,6,8,8,9,5,1,0,2,3,4,2,4,2,4,3,4,5,5,2,2,4,6,6,6
7,Prayagraj Jn,Kanpur Central,194.5,5,5,4,4,6,6,4,1,0,2,2,2,2,0,0,1,1,3,2,3,1,0,2,2
8,Kanpur Central,Etawah Jn,139.4,2,3,2,3,3,3,5,6,0,0,0,0,2,2,0,0,0,0,1,1,3,3,2,0
9,Etawah Jn,Tundla Jn,91.8,1,1,2,1,2,2,1,4,6,1,0,0,0,0,2,1,1,0,0,1,1,1,2,2
10,Tundla Jn,Aligarh Jn,78.3,2,1,2,0,1,1,1,1,2,4,1,0,0,0,1,1,1,1,0,0,1,1,1,0
11,Aligarh Jn,New Delhi,130.8,0,1,2,2,1,1,2,2,1,2,3,1,0,0,0,1,1,2,1,1,0,1,1,2
